x,y
1.01651958,2.904480092
-0.505835646,1.165837186
0.774772153,2.170773166
0.723942327,2.724576667
0.321091614,3.829906692
1.302684991,-1.153119085
0.518167641,1.169561776
0.878963946,1.808724508
-0.731643189,1.151839592
1.36166964,0.979847073
-1.278698139,-1.435947632
0.40184801,4.479004911
0.938944892,-0.519099759
0.57103244,1.645839573
-0.202806177,3.525302942
-1.129378032,2.371830852
0.777312775,4.527822112
-0.531933325,3.699605602
-0.361368948,-0.137605905
1.284128877,-0.187668905
0.266676875,0.622425812
-0.708046943,1.275784519
0.673469219,-0.312467959
0.7480497,1.831435026
0.379315218,0.02465042
-0.560281244,2.908011478
-0.732412173,0.975774784
0.043999908,1.386520962
-1.409799342,2.677281887
0.935482782,-0.571789097
0.874326186,0.19265247
2.208925493,1.674709751
1.70010787,-0.092530388
-1.1167047,1.169899952
-1.001351794,1.109174302
-0.500962891,4.322308931
-0.735878646,-0.816779514
1.184264437,-0.097517458
1.584425767,0.616258737
-0.080452376,2.717325528
-1.276596383,0.884740906
-0.560747752,-1.665133538
0.951402593,-0.23939943
1.940044029,4.000866306
0.481998084,3.829355341
-1.041140023,3.711903556
-1.754699813,1.035915883
1.147230172,0.743619319
-0.182378832,0.926927634
0.663204404,0.890203116
-1.479443455,4.000730603
-0.692918797,1.768550496
-0.630866568,0.222423898
-1.175133241,2.338427937
1.257027959,1.843270241
-0.779212345,1.333361476
-0.156525422,1.748832151
-2.57854845,0.677322282
0.821637637,1.976369402
0.073980207,1.910327499
0.000532131,1.107078527
-0.340306605,1.420485908
-0.612090859,0.538191765
0.657360789,2.345670573
0.656073178,1.818781607
0.36713565,0.583967847
0.472917251,2.76041457
0.434629893,2.235608009
-0.90824397,0.426004153
0.275750545,1.836130099
-1.429106831,1.014976218
0.24594432,0.676971236
-0.678090371,1.505361739
-0.24162182,1.711356477
1.380568012,2.066685533
1.727045503,4.023955357
0.353999649,1.525802959
1.097554949,5.392173085
0.847152649,2.244407815
-1.763439952,3.386120356
0.581402964,1.153791149
-2.124770801,3.892627346
0.954620185,2.269453138
-1.229222481,2.100140223
-0.542040008,0.75851373
1.50152619,1.755253903
1.803271924,0.976926529
-0.61521304,3.008393375
0.283305223,0.146655336
0.488778259,0.955649911
1.338844565,2.039145894
0.053945302,4.392316235
0.656520969,1.304705892
-0.127538319,2.812695541
0.141377264,1.124648758
-0.700104095,2.758129325
-1.062547669,1.067611002
-0.655031673,1.383368751
0.315570364,2.983057244
1.887200886,1.824367506
-1.893756965,0.771089765
-0.92432838,1.520594988
0.04105718,0.670499515
-0.920407834,0.059180708
1.098093803,0.668656889
0.566228811,3.527673948
-1.611548588,1.983037374
0.733163312,0.294322297
1.341592863,-1.957651789
-0.322060435,2.824269377
-0.579404723,1.226537351
0.982584808,1.28442272
-0.900527615,0.862309873
-1.233600293,-1.114368728
-0.223460931,4.219873151
0.224400669,1.888738152
-0.710135644,2.93260492
0.738909429,0.967151363
0.9398181,-0.036013039
0.212121173,3.66401247
0.87839565,2.965861832
-0.550908356,-1.038692996
-1.725355978,2.797252243
0.725741439,-0.706551239
-0.357224109,0.660676093
1.355813257,2.195014781
-2.134438756,2.028696782
-0.952130016,-0.240547332
-0.849848755,1.93633251
-1.475698985,1.478810399
1.062534441,1.585169224
-0.212310186,-0.230417237
-1.454956879,3.567369542
-0.740368236,3.508823526
0.19839313,1.149679264
-0.187762705,-0.328103224
0.170619685,-0.589300803
-1.255864216,-0.225171789
1.403622679,2.025148878
-0.258828419,1.245524605
1.222443447,4.448811066
0.812397761,3.516154455
-0.000682219,-0.043823092
-1.364455359,0.274707285
-0.850177856,2.33925609
-1.153251428,2.509139902
1.478187197,2.157057694
0.794281673,0.839053359
-1.24655021,2.177315996
0.287150483,3.06149001
1.005479311,2.818503539
0.241885009,-0.103684499
0.521470121,4.831477135
0.570716175,1.623791817
-0.597091137,2.049659556
1.02513986,2.850826805
-0.42841791,1.740573125
0.61434041,-1.853630815
0.588324235,1.290804601
-0.492445249,3.033543373
-0.560142118,1.362283251
-0.224694757,2.11897316
0.713952858,2.257045749
-0.52162084,3.477377711
-0.341165547,0.56901942
-0.627451242,1.984242822
0.078339918,4.505712388
0.154067365,2.155427594
0.22328881,-0.226675782
-1.874713603,0.880651044
-0.88322475,2.197209897
-0.581004589,0.05322173
1.014396592,0.148980136
1.60351982,0.556040814
0.378186774,1.749723764
0.75902831,1.050213033
0.323887885,0.41261172
-0.156177514,1.474640869
-0.148700187,0.503849754
-0.077751574,-0.536263701
0.644497357,0.893907898
-1.536223622,4.363293766
-2.281662158,-0.155561827
-0.319801416,1.32197409
-0.819298848,-1.117126642
0.147459822,4.433827692
-1.58618799,-1.312158103
0.576004836,0.903865202
0.612617256,1.147800465
0.8644582,1.614111386
1.16343875,0.739510072
0.814300496,2.101659545
-0.903407825,3.021303847
0.31498532,4.059946625
-1.937915931,2.18608691
-1.146157164,1.50461998
0.04242377,2.044193164
0.066869701,0.755745885
-1.020681991,1.489192666
1.482526609,4.151760344
